id_agente;horas_logado;horas_falando;horas_falando;tempo_falado;ranking;quartile;media_valor;conversao_venda;qtde_venda;qtde_linha;qtde_ligacoes;status_segmentacao;Data
20911;1,58;0,39;0,39;0,25;1;1;3,65;0,42;11;11;26;Menos de +2 Horas;03/07/2023
20882;4,56;1,4;1,4;0,31;2;1;3,65;0,16;12;12;73;Menos de +2 Horas;03/07/2023
20724;4,97;1,87;1,87;0,38;3;1;3,65;0,16;10;10;61;Menos de +2 Horas;03/07/2023
20501;5,42;2,11;2,11;0,39;4;1;3,65;0,15;10;9;66;Conversão + 4%;03/07/2023
20989;5,98;2,98;2,98;0,5;5;1;3,65;0,15;6;6;40;Conversão + 4%;03/07/2023
21015;2,32;1,17;1,17;0,51;6;1;3,65;0,09;6;7;67;Menos de +2 Horas;03/07/2023
21013;5,87;3,4;3,4;0,58;7;1;3,65;0,08;4;4;53;Conversão + 4%;03/07/2023
20808;7,02;2,86;2,86;0,41;8;1;3,65;0,08;6;6;77;Conversão + 4%;03/07/2023
20971;1,85;1,35;1,35;0,73;9;1;3,65;0,07;3;3;43;Menos de +2 Horas;03/07/2023
20974;2,44;0,88;0,88;0,36;10;1;3,65;0,06;6;6;96;Menos de +2 Horas;03/07/2023
20612;6,1;1,77;1,77;0,29;11;1;3,65;0,06;3;3;48;Menos de +2 Horas;03/07/2023
21004;1,98;1,12;1,12;0,57;12;1;3,65;0,05;3;4;61;Menos de +2 Horas;03/07/2023
20977;2,06;1,19;1,19;0,58;13;1;3,65;0,05;2;2;42;Menos de +2 Horas;03/07/2023
20952;3,78;1,65;1,65;0,44;14;1;3,65;0,05;4;4;87;Menos de +2 Horas;03/07/2023
20935;3,92;1,5;1,5;0,38;15;1;3,65;0,05;4;4;80;Menos de +2 Horas;03/07/2023
20981;5,88;3,4;3,4;0,58;16;2;3,65;0,05;4;4;81;Conversão + 4%;03/07/2023
20937;5,99;3,57;3,57;0,6;17;2;3,65;0,05;6;6;125;Conversão + 4%;03/07/2023
20948;8,71;1,98;1,98;0,23;18;2;3,65;0,05;4;4;85;Menos de +2 Horas;03/07/2023
20947;0,95;0;0;0;19;2;3,65;0,04;1;1;24;Menos de +2 Horas;03/07/2023
20983;2,15;1,34;1,34;0,62;20;2;3,65;0,04;2;2;55;Menos de +2 Horas;03/07/2023
20945;3,95;1,31;1,31;0,33;21;2;3,65;0,04;2;2;50;Menos de +2 Horas;03/07/2023
20614;4,81;1,68;1,68;0,35;22;2;3,65;0,04;4;4;97;Menos de +2 Horas;03/07/2023
20673;5,46;1,89;1,89;0,35;23;2;3,65;0,04;4;5;89;Menos de +2 Horas;03/07/2023
20897;5,65;2,04;2,04;0,36;24;2;3,65;0,04;3;3;82;Conversão + 4%;03/07/2023
20972;5,78;2,55;2,55;0,44;25;2;3,65;0,04;4;5;89;Conversão + 4%;03/07/2023
20846;5,96;2,02;2,02;0,34;26;2;3,65;0,04;3;5;80;Conversão + 4%;03/07/2023
20665;6,89;1,7;1,7;0,25;27;2;3,65;0,04;4;5;108;Menos de +2 Horas;03/07/2023
